Text
"Congress must pass smart, fast and reasonable Immigration Laws now. Law Enforcement at the Border is doing a great job, but the laws they are forced to work with are insane. When people, with or without children, enter our Country, they must be told to leave without our........"
".....Country being forced to endure a long and costly trial. Tell the people “OUT,” and they must leave, just as they would if they were standing on your front lawn. Hiring thousands of “judges” does not work and is not acceptable - only Country in the World that does this!"
Congress - FIX OUR INSANE IMMIGRATION LAWS NOW!
"I have accepted the resignation of Scott Pruitt as the Administrator of the Environmental Protection Agency. Within the Agency Scott has done an outstanding job, and I will always be thankful to him for this. The Senate confirmed Deputy at EPA, Andrew Wheeler, will..."
...on Monday assume duties as the acting Administrator of the EPA. I have no doubt that Andy will continue on with our great and lasting EPA agenda. We have made tremendous progress and the future of the EPA is very bright!
"It was my great honor to join proud, hardworking American Patriots in Montana tonight. I love you - thank you! #MAGA "
"A vote for Democrats in November is a vote to let MS-13 run wild in our communities, to let drugs pour into our cities, and to take jobs and benefits away from hardworking Americans. Democrats want anarchy, amnesty and chaos - Republicans want LAW, ORDER and JUSTICE!"
"Every day, the brave men and women of ICE are liberating communities from savage gangs like MS-13. We will NOT stand for these vile Democrat smears in law enforcement. We will always stand proudly with the BRAVE HEROES of ICE and BORDER PATROL!"
"Thanks to REPUBLICAN LEADERSHIP, America is WINNING AGAIN - and America is being RESPECTED again all over the world. Because we are finally putting AMERICA FIRST!"
"JOBS, JOBS, JOBS! "
"Just won lawsuit filed by the DNC and a bunch of Democrat crazies trying to claim the Trump Campaign (and others), colluded with Russia. They haven’t figured out that this was an excuse for them losing the election!"
“Hispanic-Latino Unemployment Rate Hits Lowest Level on Record in June” 
"“When they lose, Democrats just want to change the rules” "
"“ICE says it seized $43M worth of counterfeit items in Laredo, Texas”
"
"“Six months in, TAX CUTS are already providing historic gains for minorities, women, and small businesses” "
"Twitter is getting rid of fake accounts at a record pace. Will that include the Failing New York Times and propaganda machine for Amazon, the Washington Post, who constantly quote anonymous sources that, in my opinion, don’t exist - They will both be out of business in 7 years!"
Big decision will soon be made on our next Justice of the Supreme Court!
"Public opinion has turned strongly against the Rigged Witch Hunt and the “Special” Counsel because the public understands that there was no  Collusion with Russia (so ridiculous), that the two FBI lovers were a fraud against our Nation &amp; that the only Collusion was with the Dems!"
"The Rigged Witch Hunt, originally headed by FBI lover boy Peter S (for one year) &amp; now, 13 Angry Democrats, should look into the missing DNC Server, Crooked Hillary’s illegally deleted Emails, the Pakistani Fraudster, Uranium One, Podesta &amp; so much more. It’s a Democrat Con Job!"
The U.S. is working very closely with the Government of Thailand to help get all of the children out of the cave and to safety. Very brave and talented people!
"Today's report: Hispanic jobs hit another record, unemployment at an all-time low. Of 9 months in history under 5% jobless for Latinos, 8 of them have been in last year under Pres Trump!!

My article on this topic from May, when streak was then 6 of 7... "
"Iranian Harassment of U.S. Warships:

2015: 22
2016: 36
2017: 14
2018: 0

Source: @USNavy"
Looking forward to announcing my final decision on the United States Supreme Court Justice at 9:00pmE tomorrow night at the @WhiteHouse. An exceptional person will be chosen!
"They just didn't get it, but they do now! "
"The United States is spending far more on NATO than any other Country. This is not fair, nor is it acceptable. While these countries have been increasing their contributions since I took office, they must do much more. Germany is at 1%, the U.S. is at 4%, and NATO benefits......."
"...Europe far more than it does the U.S. By some accounts, the U.S. is paying for 90% of NATO, with many countries nowhere close to their 2% commitment. On top of this the European Union has a Trade Surplus of $151 Million with the U.S., with big Trade Barriers on U.S. goods. NO!"
I have long heard that the most important decision a U.S. President can make is the selection of a Supreme Court Justice - Will be announced tonight at 9:00 P.M.
"I have confidence that Kim Jong Un will honor the contract we signed &amp;, even more importantly, our handshake. We agreed to the denuclearization of North Korea. China, on the other hand, may be exerting negative pressure on a deal because of our posture on Chinese Trade-Hope Not!"
The failing NY Times Fake News story today about breast feeding must be called out. The U.S. strongly supports breast feeding but we don’t believe women should be denied access to formula. Many women need this option because of malnutrition and poverty.
"Pfizer &amp; others should be ashamed that they have raised drug prices for no reason. They are merely taking advantage of the poor &amp; others unable to defend themselves, while at the same time giving bargain basement prices to other countries in Europe &amp; elsewhere. We will respond!"
"HAPPY 100TH BIRTHDAY to our amazing current and former Army Warrant Officers. Thank you for your century of service, as the indispensable guardians of our great @USArmy’s technology! #CenturyOfService "
President Trump Announces the Nominee for Associate Justice of the Supreme Court 
"Tonight, it was my honor and privilege to nominate Judge Brett Kavanaugh to the United States Supreme Court. #SCOTUS "
"Judge Brett Kavanaugh watches with his family as President Donald J. Trump signs the document Monday evening, July 9, 2018, in the Treaty Room of the @WhiteHouse, naming Kavanaugh as his nominee to become the next Associate Justice of the #SCOTUS. "
"“The Rule of Law is our Nation’s proud heritage. It is the cornerstone of our Freedom. It is what guarantees equal justice - and the Senate now has the chance to protect this glorious heritage by sending Judge Brett Kavanaugh to the #SCOTUS.”
President Donald J. Trump "
"Iranian Harassment of U.S. Warships:

2015: 22
2016: 36
2017: 14
2018: 0

Source: @USNavy"

Getting ready to leave for Europe. First meeting - NATO. The U.S. is spending many times more than any other country in order to protect them. Not fair to the U.S. taxpayer. On top of that we lose $151 Billion on Trade with the European Union. Charge us big Tariffs (&amp; Barriers)!
"NATO countries must pay MORE, the United States must pay LESS. Very Unfair!"
"Thank you to all of my great supporters, really big progress being made. Other countries wanting to fix crazy trade deals. Economy is ROARING. Supreme Court pick getting GREAT REVIEWS. New Poll says Trump, at over 90%, is the most popular Republican in history of the Party. Wow!"
"They just didn't get it, but they do now! "
"On behalf of the United States, congratulations to the Thai Navy SEALs and all on the successful rescue of the 12 boys and their coach from the treacherous cave in Thailand. Such a beautiful moment - all freed, great job!"
"I am on Air Force One flying to NATO and hear reports that the FBI lovers, Peter Strzok and Lisa Page are getting cold feet on testifying about  the Rigged Witch Hunt headed by 13 Angry Democrats and people that worked for Obama for 8 years. Total disgrace!"
Informing the Republican Senators of my nomination of Judge Brett Kavanaugh. #SCOTUS 
"Many countries in NATO, which we are expected to defend, are not only short of their current commitment of 2% (which is low), but are also delinquent for many years in payments that have not been made. Will they reimburse the U.S.?"
"A recent Emerson College ePoll said that most Americans, especially Hispanics, feel that they are better off under President Trump than they were under President Obama."
"The European Union makes it impossible for our farmers and workers and companies to do business in Europe (U.S. has a $151 Billion trade deficit), and then they want us to happily defend them through NATO, and nicely pay for it. Just doesn’t work!"
"Just talked with Pfizer CEO and @SecAzar on our drug pricing blueprint. Pfizer is rolling back price hikes, so American patients don’t pay more. We applaud Pfizer for this decision and hope other companies do the same. Great news for the American people!"
"Bilateral Breakfast with NATO Secretary General in Brussels, Belgium... "
"I am in Brussels, but always thinking about our farmers. Soy beans fell 50% from 2012 to my election. Farmers have done poorly for 15 years. Other countries’ trade barriers and tariffs have been destroying their businesses. I will open..."
"...things up, better than ever before, but it can’t go too quickly. I am fighting for a level playing field for our farmers, and will win!"
Democrats in Congress must no longer Obstruct - vote to fix our terrible Immigration Laws now. I am watching what is going on from Europe - it would be soooo simple to fix. Judges run the system and illegals and traffickers know how it works. They are just using children!
